frame_abs,frame_rel,time_s,mask_pixels,mask_ratio,temp_mean,temp_min,temp_max
1197,417,47.880,50714,2.64,16.47,6.85,59.65
1198,418,47.920,23417,1.22,18.50,9.55,107.95
1199,419,47.960,30826,1.61,11.42,4.85,31.55
1200,420,48.000,87680,4.57,14.12,4.85,92.05
1201,421,48.040,31166,1.62,12.32,4.85,44.65
1202,422,48.080,22520,1.17,10.69,3.85,25.05
1203,423,48.120,23852,1.24,10.71,3.85,20.55
1204,424,48.160,19758,1.03,11.20,3.85,15.45
1205,425,48.200,19847,1.03,11.87,3.85,32.25
1206,426,48.240,27496,1.43,11.90,5.85,28.95
1207,427,48.280,29064,1.51,12.24,6.85,31.25
1208,428,48.320,26287,1.37,12.47,7.75,30.05
1209,429,48.360,30223,1.57,12.35,8.65,27.75
1210,430,48.400,30201,1.57,12.38,8.25,27.75
1211,431,48.440,26546,1.38,12.49,8.25,29.25
1212,432,48.480,24919,1.30,12.86,8.25,28.95
1213,433,48.520,22524,1.17,13.60,9.55,34.85
1214,434,48.560,21974,1.14,14.66,10.15,57.75
1215,435,48.600,17322,0.90,14.44,10.55,63.75
1216,436,48.640,17276,0.90,13.92,7.25,70.65
1217,437,48.680,17704,0.92,12.20,6.85,51.15
1218,438,48.720,16162,0.84,12.17,7.25,40.55
1219,439,48.760,15349,0.80,14.22,7.75,72.75
1220,440,48.800,11081,0.58,11.60,7.75,71.45
1221,441,48.840,10034,0.52,10.06,7.75,23.35
1222,442,48.880,9525,0.50,9.93,7.75,12.35
1223,443,48.920,19551,1.02,15.13,8.25,62.25
1224,444,48.960,10477,0.55,10.85,7.75,64.25
1225,445,49.000,10917,0.57,8.50,6.35,15.45
1226,446,49.040,20380,1.06,7.55,3.85,12.75
1227,447,49.080,24499,1.28,7.68,3.85,14.55
1228,448,49.120,9792,0.51,8.37,4.85,13.25
1229,449,49.160,10810,0.56,9.11,3.85,13.25
1230,450,49.200,10072,0.52,11.29,3.85,21.75
1231,451,49.240,10599,0.55,13.05,7.25,23.05
1232,452,49.280,8048,0.42,13.95,9.55,20.15
1233,453,49.320,27095,1.41,13.61,8.25,28.55
1234,454,49.360,24817,1.29,14.87,8.65,25.05
1235,455,49.400,8309,0.43,13.38,8.65,18.85
1236,456,49.440,9206,0.48,13.74,8.65,22.65
1237,457,49.480,11166,0.58,15.65,9.15,26.25
1238,458,49.520,12490,0.65,16.88,9.55,45.25
1239,459,49.560,12667,0.66,16.91,11.05,64.25
1240,460,49.600,12740,0.66,16.33,10.55,97.65
1241,461,49.640,13924,0.73,33.89,8.25,148.45
1242,462,49.680,12724,0.66,22.49,9.15,131.85
1243,463,49.720,15093,0.79,15.42,8.65,48.55
1244,464,49.760,28988,1.51,15.81,8.25,69.25
1245,465,49.800,15304,0.80,11.95,8.65,42.95
1246,466,49.840,15860,0.83,12.03,8.25,29.25
1247,467,49.880,29489,1.54,15.26,7.25,68.05
1248,468,49.920,31171,1.62,15.72,7.75,66.45
1249,469,49.960,26655,1.39,17.00,9.55,115.15
1250,470,50.000,24712,1.29,18.70,9.55,131.85
1251,471,50.040,25013,1.30,20.37,11.05,131.35
1252,472,50.080,25561,1.33,20.59,10.55,129.35
1253,473,50.120,24804,1.29,18.73,7.75,72.75
1254,474,50.160,22846,1.19,17.54,7.75,69.55
1255,475,50.200,12250,0.64,11.26,9.55,14.55
1256,476,50.240,12749,0.66,11.09,8.25,16.35
1257,477,50.280,16960,0.88,12.75,8.65,52.05
1258,478,50.320,12967,0.68,12.85,7.25,70.65
1259,479,50.360,11573,0.60,12.33,7.75,190.25
1260,480,50.400,10696,0.56,12.08,8.25,68.25
1261,481,50.440,9274,0.48,12.85,8.65,58.55
1262,482,50.480,9069,0.47,11.77,9.15,61.05
1263,483,50.520,9217,0.48,9.66,7.75,12.35
1264,484,50.560,8040,0.42,8.66,5.85,14.95
1265,485,50.600,9705,0.51,9.28,6.85,19.65
1266,486,50.640,25179,1.31,22.23,6.85,129.95
1267,487,50.680,10170,0.53,11.57,8.25,25.85
1268,488,50.720,21090,1.10,16.48,6.35,51.65
1269,489,50.760,22953,1.20,16.89,6.85,27.75
1270,490,50.800,22181,1.16,17.37,10.55,27.35
1271,491,50.840,18395,0.96,17.37,11.45,27.75
1272,492,50.880,22854,1.19,17.12,11.05,29.25
1273,493,50.920,21670,1.13,16.11,11.05,21.45
1274,494,50.960,14268,0.74,15.65,10.55,27.75
1275,495,51.000,14055,0.73,15.98,11.05,32.75
1276,496,51.040,19853,1.03,17.37,11.75,39.55
1277,497,51.080,10929,0.57,23.44,16.35,38.75
1278,498,51.120,13852,0.72,45.16,19.35,253.85
